rank, city, state, pop_2014, pop_2010, change, land_area, density, lat, lon
56 , Anaheim , California , 346997 , 336265 , +3.19 , 49.8 , 6748 , 33.8555, -117.7601
57 , Santa Ana , California , 334909 , 324528 , +3.20 , 27.3 , 11901 , 33.7365, -117.8826
58 , Corpus Christi , Texas , 320434 , 305215 , +4.99 , 160.6 , 1900 , 27.7543, -97.1734
59 , Riverside , California , 319504 , 303871 , +5.14 , 81.1 , 3745 , 33.9381, -117.3932
60 , St. Louis , Missouri , 317419 , 319294 , −0.59 , 61.9 , 5157 , 38.6357, -90.2446
61 , Lexington , Kentucky , 310797 , 295803 , +5.07 , 283.6 , 1043 , 38.0402, -84.4584
62 , Pittsburgh , Pennsylvania , 305412 , 305704 , −0.10 , 55.4 , 5521 , 40.4398, -79.9766
63 , Stockton , California , 302389 , 291707 , +3.66 , 61.7 , 4730 , 37.9763, -121.3133
64 , Anchorage , Alaska , 301010 , 291826 , +3.15 , 1704.7 , 171 , 61.2176, -149.8953
65 , Cincinnati , Ohio , 298165 , 296943 , +0.41 , 77.9 , 3810 , 39.1399, -84.5064
66 , Saint Paul , Minnesota , 297640 , 285068 , +4.41 , 52.0 , 5484 , 44.9489, -93.1039
67 , Greensboro , North Carolina , 282586 , 269666 , +4.79 , 126.5 , 2131 , 36.0965, -79.8271
68 , Toledo , Ohio , 281031 , 287208 , −2.15 , 80.7 , 3559 , 41.6641, -83.5819
69 , Newark , New Jersey , 280579 , 277140 , +1.24 , 24.2 , 11458 , 40.7242, -74.1726
70 , Plano , Texas , 278480 , 259841 , +7.17 , 71.6 , 3630 , 33.0508, -96.7479
71 , Henderson , Nevada , 277440 , 257729 , +7.65 , 107.7 , 2392 , 36.0122, -115.0375
72 , Lincoln , Nebraska , 272996 , 258379 , +5.66 , 89.1 , 2899 , 40.8090, -96.6804
73 , Orlando , Florida , 262372 , 238300 , +10.10 , 102.4 , 2327 , 28.4159, -81.2988
74 , Jersey City , New Jersey , 262146 , 247597 , +5.88 , 14.8 , 16737 , 40.7114, -74.0648
75 , Chula Vista , California , 260988 , 243916 , +7.00 , 49.6 , 4915 , 32.6277, -117.0152
76 , Buffalo , New York , 258703 , 261310 , −1.00 , 40.4 , 6471 , 42.8925, -78.8597
77 , Fort Wayne , Indiana , 258522 , 253691 , +1.90 , 110.6 , 2293 , 41.0882, -85.1439
78 , Chandler , Arizona , 254276 , 236123 , +7.69 , 64.4 , 3666 , 33.2829, -111.8549
79 , St. Petersburg , Florida , 253693 , 244769 , +3.65 , 61.7 , 3964 , 27.7620, -82.6441
80 , Laredo , Texas , 252309 , 236091 , +6.87 , 88.9 , 2655 , 27.5477, -99.4869
81 , Durham , North Carolina , 251893 , 228330 , +10.32 , 107.4 , 2127 , 35.9810, -78.9056
82 , Irvine , California , 248531 , 212375 , +17.02 , 66.1 , 3213 , 33.6784, -117.7713
83 , Madison , Wisconsin , 245691 , 233209 , +5.35 , 76.8 , 3037 , 43.0878, -89.4301
84 , Norfolk , Virginia , 245428 , 242803 , +1.08 , 54.1 , 4486 , 36.9230, -76.2446
85 , Lubbock , Texas , 243839 , 229573 , +6.21 , 122.4 , 1875 , 33.5665, -101.8867
86 , Gilbert , Arizona , 239277 , 208453 , +14.79 , 68.0 , 3067 , 33.3102, -111.7422
87 , Winston–Salem , North Carolina , 239269 , 229617 , +4.20 , 132.4 , 1734 , 36.1033, -80.2606
88 , Glendale , Arizona , 237517 , 226721 , +4.76 , 60.0 , 3780 , 33.5331, -112.1899
89 , Reno , Nevada , 236995 , 225221 , +5.23 , 103.0 , 2186 , 39.4745, -119.7765
90 , Hialeah , Florida , 235563 , 224669 , +4.85 , 21.5 , 10474 , 25.8699, -80.3029
91 , Garland , Texas , 235501 , 226876 , +3.80 , 57.1 , 3974 , 32.9098, -96.6304
92 , Chesapeake , Virginia , 233371 , 222209 , +5.02 , 340.8 , 652 , 36.6794, -76.3018
93 , Irving , Texas , 232406 , 216290 , +7.45 , 67.0 , 3227 , 32.8577, -96.97
94 , North Las Vegas , Nevada , 230788 , 216961 , +6.37 , 101.3 , 2141 , 36.2830, -115.0893
95 , Scottsdale , Arizona , 230512 , 217385 , +6.04 , 183.9 , 1182 , 33.6687, -111.8237
96 , Baton Rouge , Louisiana , 228895 , 229493 , −0.26 , 76.9 , 2982 , 30.4485, -91.1259
97 , Fremont , California , 228758 , 214089 , +6.85 , 77.5 , 2764 , 37.4944, -121.9411
98 , Richmond , Virginia , 217853 , 204214 , +6.68 , 59.8 , 3415 , 37.5314, -77.476
99 , Boise , Idaho , 216282 , 205671 , +5.16 , 79.4 , 2592 , 43.5985, -116.2311
100 , San Bernardino , California , 215213 , 209924 , +2.52 , 59.2 , 3546 , 34.1393, -117.2953
101 , Birmingham , Alabama , 212247 , 212237 , 0.00 , 146.1 , 1453 , 33.5274, -86.799
102 , Spokane , Washington , 212052 , 208916 , +1.50 , 59.2 , 3526 , 47.6736, -117.4166
103 , Rochester , New York , 209983 , 210565 , −0.28 , 35.8 , 5885 , 43.1699, -77.6169
104 , Modesto , California , 209286 , 201165 , +4.04 , 36.9 , 5456 , 37.6609, -120.9891
105 , Des Moines , Iowa , 209220 , 203433 , +2.84 , 80.9 , 2516 , 41.5739, -93.6167
106 , Oxnard , California , 205437 , 197899 , +3.81 , 26.9 , 7358 , 34.2023, -119.2046
107 , Tacoma , Washington , 205159 , 198397 , +3.41 , 49.7 , 3990 , 47.2522, -122.4598
108 , Fontana , California , 204950 , 196069 , +4.53 , 42.4 , 4621 , 34.1088, -117.4627
109 , Fayetteville , North Carolina , 203948 , 200564 , +1.69 , 145.8 , 1375 , 35.0851, -78.9803
110 , Moreno Valley , California , 202976 , 193365 , +4.97 , 51.3 , 3771 , 33.9233, -117.2057
111 , Columbus , Georgia , 200887 , 189885 , +5.79 , 216.4 , 878 , 32.5102, -84.8749
112 , Huntington Beach , California , 200809 , 189992 , +5.69 , 26.7 , 7103 , 33.6906, -118.0093
113 , Yonkers , New York , 200667 , 195976 , +2.39 , 18.0 , 10880 , 40.9459, -73.8674
114 , Montgomery , Alabama , 200481 , 205764 , −2.57 , 159.6 , 1290 , 32.3463, -86.2686
115 , Aurora , Illinois , 200456 , 197899 , +1.29 , 44.9 , 4404 , 41.7635, -88.2901
116 , Glendale , California , 200167 , 191719 , +4.41 , 30.5 , 6295 , 34.1814, -118.2458
117 , Shreveport , Louisiana , 198242 , 199311 , −0.54 , 105.4 , 1891 , 32.4670, -93.7927
